Date	Open	High	Low	Close	Volume	Adj Close
2004-09-13	4545.00	4602.10	4539.00	4591.00	1699645500	4591.00
2004-09-06	4550.80	4574.00	4529.60	4545.00	1481380500	4545.00
2004-08-31	4490.10	4553.40	4458.80	4550.80	1489803900	4550.80
2004-08-23	4369.20	4490.10	4369.20	4490.10	1253798100	4490.10
2004-08-16	4301.50	4381.40	4283.00	4369.20	1187411800	4369.20
2004-08-09	4337.90	4356.90	4289.60	4301.50	1305135300	4301.50
2004-08-02	4413.10	4432.50	4337.90	4337.90	1693833200	4337.90
2004-07-26	4326.30	4425.30	4283.20	4413.10	1573582500	4413.10
2004-07-19	4339.20	4391.50	4297.50	4326.30	1459340800	4326.30
2004-07-12	4393.20	4395.60	4324.50	4339.20	1504479700	4339.20
2004-07-05	4407.40	4423.30	4324.10	4393.20	1546556900	4393.20
2004-06-28	4494.10	4535.10	4398.30	4407.40	1838890300	4407.40
2004-06-21	4505.80	4516.70	4459.80	4494.10	1708827000	4494.10
2004-06-14	4484.00	4510.50	4430.30	4505.80	1442435400	4505.80
2004-06-07	4454.40	4515.20	4454.40	4484.00	1310821100	4484.00
2004-06-01	4430.70	4462.10	4400.70	4454.40	1568028800	4454.40
2004-05-24	4431.40	4471.30	4396.60	4430.70	1733011700	4430.70
2004-05-17	4441.80	4471.80	4363.00	4431.40	1581529900	4431.40
2004-05-10	4498.40	4498.40	4395.20	4441.80	1652499000	4441.80
2004-05-04	4489.70	4573.70	4463.20	4498.40	1976056100	4498.40
2004-04-26	4570.00	4586.90	4489.70	4489.70	1575725500	4489.70
2004-04-19	4537.30	4601.60	4519.80	4570.00	1670900100	4570.00
2004-04-13	4489.70	4540.20	4456.20	4537.30	1765230000	4537.30
2004-04-05	4465.60	4504.70	4451.40	4489.70	1533979600	4489.70
2004-03-29	4357.50	4471.30	4357.50	4465.60	1569067700	4465.60
2004-03-22	4417.70	4417.70	4291.30	4357.50	1932797000	4357.50
2004-03-15	4467.40	4471.20	4394.60	4417.70	1833873400	4417.70
2004-03-08	4547.10	4562.00	4374.50	4467.40	1901023000	4467.40
2004-03-01	4492.20	4566.20	4492.20	4547.10	1954852400	4547.10
2004-02-23	4515.00	4556.90	4476.70	4492.20	2015747600	4492.20
2004-02-16	4412.00	4549.60	4389.90	4515.00	1996943000	4515.00
2004-02-09	4402.70	4436.80	4370.20	4412.00	2071153600	4412.00
2004-02-02	4390.70	4411.60	4357.40	4402.70	1966123300	4402.70
2004-01-26	4460.80	4482.50	4390.70	4390.70	2000214400	4390.70
2004-01-19	4487.90	4531.40	4438.60	4460.80	1855807700	4460.80
2004-01-12	4466.30	4491.70	4431.10	4487.90	2022647500	4487.90
2004-01-05	4510.20	4522.90	4445.10	4466.30	1979471300	4466.30
2003-12-29	4444.70	4518.00	4432.80	4510.20	498931800	4510.20
2003-12-22	4412.30	4457.40	4392.40	4444.70	799346500	4444.70
2003-12-15	4347.60	4427.80	4329.00	4412.30	1751458800	4412.30
2003-12-08	4367.00	4407.50	4312.50	4347.60	1695432700	4347.60
2003-12-01	4342.60	4416.50	4337.70	4367.00	1788626300	4367.00
2003-11-24	4319.00	4423.60	4319.00	4342.60	1666855400	4342.60
2003-11-17	4397.00	4397.00	4270.50	4319.00	1937881400	4319.00
2003-11-10	4376.90	4412.90	4313.50	4397.00	1585009300	4397.00
2003-11-03	4287.60	4389.20	4283.40	4376.90	1765386000	4376.90
2003-10-27	4239.00	4332.90	4238.10	4287.60	1614735000	4287.60
2003-10-20	4344.00	4377.60	4212.50	4239.00	1743272000	4239.00
2003-10-13	4311.00	4393.80	4310.10	4344.00	1809309400	4344.00
2003-10-06	4274.00	4327.00	4241.70	4311.00	1774991200	4311.00
2003-09-29	4157.10	4285.40	4081.80	4274.00	1901155600	4274.00
2003-09-22	4257.00	4265.30	4146.40	4157.10	1963433200	4157.10
2003-09-15	4237.80	4329.60	4237.80	4257.00	1852408800	4257.00
2003-09-08	4257.20	4298.00	4227.20	4237.80	1725643300	4237.80
2003-09-01	4161.10	4279.10	4161.10	4257.20	1868400700	4257.20
2003-08-26	4225.90	4229.00	4161.10	4161.10	1588786000	4161.10
2003-08-18	4247.30	4286.90	4196.50	4225.90	1421756400	4225.90
2003-08-11	4147.80	4266.40	4147.80	4247.30	1435718800	4247.30
2003-08-04	4098.40	4160.70	4044.90	4147.80	1521654600	4147.80
